SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION, ,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,j,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,2506 Davidson Ave Unit 1G,Bronx,NY,10468,169999,1,1,Bronx,600,,1941,67,283,,Active,,,http://www.redfin.com/NY/The-Bronx/2506-Davidson-Ave-10468/unit-1G/home/44765501,HGMLS,5117564,N,Y,40.8644015,-73.9007549
MLS Listing,,Condo/Co-op,255 Bronx River Rd Unit 4N,Yonkers,NY,10704,139000,1,1,Yonkers,800,,1970,69,174,,Active,,,http://www.redfin.com/NY/Yonkers/255-Bronx-River-Rd-10704/unit-4N/home/53614826,HGMLS,5116223,N,Y,40.9093232,-73.855371
MLS Listing,,Condo/Co-op,5601 Riverdale Ave Unit 4T,Bronx,NY,10471,150000,0,1,Bronx,600,,1955,70,250,,Active,,,http://www.redfin.com/NY/The-Bronx/5601-Riverdale-Ave-10471/unit-4T/home/44799485,HGMLS,5116213,N,Y,40.9048823,-73.9051113
MLS Listing,,Condo/Co-op,2250 Brigham St Unit 5C,Brooklyn,NY,11229,151000,1,1,Brooklyn,750,,,71,201,,Active,,,http://www.redfin.com/NY/Brooklyn/2250-Brigham-St-11229/unit-5C/home/169594112,BNYMLS,434365,N,Y,40.5977235,-73.9352176
MLS Listing,,Condo/Co-op,87-15 165St St Unit 5 c,Jamaica Hills,NY,11432,110000,0,1,Saxony,,,1930,75,,,Active,,,http://www.redfin.com/NY/Jamaica/87-15-165th-St-11432/unit-5C/home/20631465,MLSLI,3175688,N,Y,40.7103939,-73.7983509
MLS Listing,,Condo/Co-op,118-18 Union Tpke Unit 5J,Kew Gardens,NY,11415,164999,0,1,Park Lane South,,,1974,75,,,Active,,,http://www.redfin.com/NY/Kew-Gardens/118-18-Union-Tpke-11415/unit-5J/home/169569755,MLSLI,3175654,N,Y,40.7124154,-73.8339574
MLS Listing,,Vacant Land,12-04 Church Rd,Broad Channel,NY,11693,34900,,,Broad Channel,,4419,,75,,,Active,,,http://www.redfin.com/NY/Far-Rockaway/12-04-Church-Rd-11693/home/20668615,MLSLI,3175528,N,Y,40.604092,-73.817952
MLS Listing,,Condo/Co-op,Unit at 2251 Knapp St,Brooklyn,NY,11229,175000,2,1,Sheepshead Bay,,,,76,,,Active,,,http://www.redfin.com/NY/Brooklyn/2251-Knapp-St-11229/home/148750929,REBNY,DEGI4003377,N,Y,40.598354,-73.9335111
MLS Listing,,Condo/Co-op,Unit at 1350 E 5th St,Brooklyn,NY,11230,170000,0,1,Midwood,,,,77,,,Active,,,http://www.redfin.com/NY/Brooklyn/1350-E-5th-St-11230/home/40673542,REBNY,CITI5922971,N,Y,40.6178791,-73.9709274
MLS Listing,,Condo/Co-op,3845 Shore Pkwy Unit 3m,Brooklyn,NY,11235,159999,1,1,Sheepshead Bay,580,,1965,78,276,410,Active,,,http://www.redfin.com/NY/Brooklyn/3845-Shore-Pkwy-11235/unit-3M/home/40654595,SIBORMLS,1133252,N,Y,40.586901,-73.932949
MLS Listing,,Condo/Co-op,829 Adee Ave Unit 3N,Bronx,NY,10467,125000,1,1,Bronx,600,,1927,78,208,,Active,,,http://www.redfin.com/NY/The-Bronx/829-Adee-Ave-10467/unit-3N/home/169515820,HGMLS,5111202,N,Y,40.8698328,-73.8622596
MLS Listing,,Condo/Co-op,Unit at 3000 Valentine Ave,Bronx,NY,10458,125000,1,1,Bedford Park,595,,,79,210,,Active,,,http://www.redfin.com/NY/The-Bronx/3000-Valentine-Ave-10458/home/169507239,REBNY,CITI5921919,N,Y,40.8724137,-73.8852231
MLS Listing,,Condo/Co-op,333 Bronx River Rd #617,Yonkers,NY,10704,119000,1,1,Yonkers,650,,1960,81,183,,Active,,,http://www.redfin.com/NY/Yonkers/333-Bronx-River-Rd-10704/unit-617/home/58142987,HGMLS,5105882,N,Y,40.9112066,-73.8538685
MLS Listing,,Condo/Co-op,975 Union #34,Bronx,NY,10459,79999,2,1,Bronx,800,,1912,82,100,,Active,,,http://www.redfin.com/NY/The-Bronx/975-Union-10459/unit-34/home/169465009,HGMLS,5106945,N,Y,40.8285039,-73.8918897
MLS Listing,,Condo/Co-op,975 Union #20,Bronx,NY,10459,79999,2,1,Bronx,800,,1912,82,100,,Active,,,http://www.redfin.com/NY/The-Bronx/975-Union-10459/unit-20/home/169464891,HGMLS,5106941,N,Y,40.8285039,-73.8918897
